Ente;Confinanti;Data inizio;Positivi 2020/03/25;Data massimo positivi durante chiusura;Massimo positivi durante chiusura;Data fine chiusura;Positivi fine chiusura;Data inizio zona rossa;Positivi inizio zona rossa;Data massimo positivi seconda ondata;Massimo positivi seconda ondata;Data inizio zona arancione;Positivi inizio zona arancione;Data inizio zona gialla;Positivi inizio zona gialla;Data ultimo giorno;Positivi 2021/01/16;Data massimo positivi;Massimo positivi;Data massima variazione;Massima variazione;Data inizio;Positivi per 1000 abitanti 2020/03/25;Data massimo positivi per 1000 abitanti durante chiusura;Massimo positivi per 1000 abitanti durante chiusura;Data fine chiusura;Positivi per 1000 abitanti fine chiusura;Data inizio zona rossa;Positivi per 1000 abitanti inizio zona rossa;Data massimo positivi per 1000 abitanti seconda ondata;Massimo positivi per 1000 abitanti seconda ondata;Data inizio zona arancione;Positivi per 1000 abitanti inizio zona arancione;Data inizio zona gialla;Positivi per 1000 abitanti inizio zona gialla;Data ultimo giorno;Positivi per 1000 abitanti 2021/01/16;Data massimo positivi per 1000 abitanti;Massimo positivi per 1000 abitanti;Data massima variazione per 1000 abitanti;Massima variazione per 1000 abitanti;Tipo
Rivarolo Canavese;Bosconero,Lombardore,Ozegna,Castellamonte,Rivarossa,Salassa,Favria,LusigliÃ¨,Ciconio,Feletto,Oglianico;2020/03/25;25;2020/04/08;67;2020/05/18;27;2020/11/03;133;2020/11/20;220;2020/11/27;187;2020/12/12;106;2021/01/16;66;2020/11/20;220;2020/11/06;21;2020/03/25;2.01;2020/04/08;5.38;2020/05/18;2.17;2020/11/03;10.67;2020/11/20;17.65;2020/11/27;15.01;2020/12/12;8.51;2021/01/16;5.3;2020/11/20;17.65;2020/11/06;1.69;COM
Rivarone;Montecastello,Alluvioni Piovera,Bassignana;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;3;2020/11/25;4;2020/11/27;1;2020/12/12;1;2021/01/16;2;2020/10/21;5;2020/10/21;3;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;7.35;2020/11/25;9.8;2020/11/27;2.45;2020/12/12;2.45;2021/01/16;4.9;2020/10/21;12.25;2020/10/21;7.35;COM
Rivarossa;Lombardore,Rivarolo Canavese,Front,San Francesco al Campo,Oglianico;2020/03/25;2;2020/04/25;9;2020/05/18;0;2020/11/03;11;2020/11/24;21;2020/11/27;17;2020/12/12;10;2021/01/16;0;2020/11/24;21;2020/04/03;3;2020/03/25;1.26;2020/04/25;5.65;2020/05/18;0.0;2020/11/03;6.91;2020/11/24;13.19;2020/11/27;10.68;2020/12/12;6.28;2021/01/16;0.0;2020/11/24;13.19;2020/04/03;1.89;COM
Rive;Costanzana,Pertengo,Villanova Monferrato,Balzola,Stroppiana;2020/03/25;0;2020/04/06;1;2020/05/18;0;2020/11/03;4;2020/11/12;6;2020/11/27;2;2020/12/12;5;2021/01/16;0;2020/11/12;6;2020/12/04;4;2020/03/25;0.0;2020/04/06;2.24;2020/05/18;0.0;2020/11/03;8.95;2020/11/12;13.42;2020/11/27;4.47;2020/12/12;11.19;2021/01/16;0.0;2020/11/12;13.42;2020/12/04;8.95;COM
Rivoli;Grugliasco,Alpignano,Torino,Villarbasse,Orbassano,Rivalta di Torino,Collegno,Caselette,Pianezza,Rosta;2020/03/25;95;2020/04/28;265;2020/05/18;101;2020/11/03;414;2020/11/18;780;2020/11/27;534;2020/12/12;256;2021/01/16;227;2020/11/18;780;2020/11/06;71;2020/03/25;1.96;2020/04/28;5.46;2020/05/18;2.08;2020/11/03;8.53;2020/11/18;16.07;2020/11/27;11.0;2020/12/12;5.27;2021/01/16;4.68;2020/11/18;16.07;2020/11/06;1.46;COM
Roaschia;Valdieri,Robilante,Entracque,Roccavione,Vernante;2020/03/25;0;2020/05/06;2;2020/05/18;0;2020/11/03;0;2020/11/07;1;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/05/06;2;2020/04/13;1;2020/03/25;0.0;2020/05/06;18.69;2020/05/18;0.0;2020/11/03;0.0;2020/11/07;9.35;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/05/06;18.69;2020/04/13;9.35;COM
Roascio;Torresina,Igliano,Ceva,Paroldo,Castellino Tanaro;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/19;3;2020/11/27;1;2020/12/12;0;2021/01/16;1;2020/11/19;3;2020/11/05;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/19;30.0;2020/11/27;10.0;2020/12/12;0.0;2021/01/16;10.0;2020/11/19;30.0;2020/11/05;10.0;COM
Roasio;Gattinara,Sostegno,Rovasenda,Brusnengo,Villa del Bosco,Curino,Lozzolo;2020/03/25;4;2020/05/05;11;2020/05/18;5;2020/11/03;6;2020/11/19;30;2020/11/27;25;2020/12/12;8;2021/01/16;4;2020/11/19;30;2020/11/18;5;2020/03/25;1.71;2020/05/05;4.71;2020/05/18;2.14;2020/11/03;2.57;2020/11/19;12.84;2020/11/27;10.7;2020/12/12;3.42;2021/01/16;1.71;2020/11/19;12.84;2020/11/18;2.14;COM
Roatto;Villafranca d'Asti,Maretto,Montafia,Cortazzone,San Paolo Solbrito;2020/03/25;0;2020/04/28;1;2020/05/18;0;2020/11/03;3;2020/11/22;9;2020/11/27;6;2020/12/12;1;2021/01/16;1;2020/11/22;9;2020/10/12;2;2020/03/25;0.0;2020/04/28;2.62;2020/05/18;0.0;2020/11/03;7.85;2020/11/22;23.56;2020/11/27;15.71;2020/12/12;2.62;2021/01/16;2.62;2020/11/22;23.56;2020/10/26;5.24;COM
Robassomero;Nole,Caselle Torinese,CiriÃ¨,Venaria Reale,Fiano,Druento,San Maurizio Canavese;2020/03/25;8;2020/04/03;13;2020/05/18;3;2020/11/03;40;2020/11/19;44;2020/11/27;34;2020/12/12;19;2021/01/16;13;2020/11/19;44;2020/10/28;6;2020/03/25;2.61;2020/04/03;4.24;2020/05/18;0.98;2020/11/03;13.05;2020/11/19;14.35;2020/11/27;11.09;2020/12/12;6.2;2021/01/16;4.24;2020/11/19;14.35;2020/10/28;1.95;COM
Robella;Brozolo,Murisengo,Cocconato,Verrua Savoia,Odalengo Grande,Montiglio Monferrato;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/12/04;4;2020/11/27;1;2020/12/12;3;2021/01/16;0;2020/12/04;4;2020/11/01;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/12/04;8.26;2020/11/27;2.07;2020/12/12;6.2;2021/01/16;0.0;2020/12/04;8.26;2020/11/01;2.07;COM
Robilante;Roccavione,Roaschia,Boves,Vernante;2020/03/25;3;2020/04/07;6;2020/05/18;2;2020/11/03;11;2020/11/22;31;2020/11/27;30;2020/12/12;19;2021/01/16;12;2020/11/22;31;2020/12/06;5;2020/03/25;1.33;2020/04/07;2.65;2020/05/18;0.88;2020/11/03;4.87;2020/11/22;13.72;2020/11/27;13.27;2020/12/12;8.41;2021/01/16;5.31;2020/11/22;13.72;2020/12/06;2.22;COM
Roburent;Ormea,Frabosa Soprana,Montaldo di MondovÃ¬,Pamparato,Garessio,Torre MondovÃ¬;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;2;2020/11/25;4;2020/11/27;4;2020/12/12;2;2021/01/16;0;2020/11/25;4;2020/10/20;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;4.07;2020/11/25;8.15;2020/11/27;8.15;2020/12/12;4.07;2021/01/16;0.0;2020/11/25;8.15;2020/10/20;2.04;COM
Rocca Canavese;Nole,Forno Canavese,Vauda Canavese,Barbania,Corio,San Carlo Canavese,Levone;2020/03/25;0;2020/04/17;5;2020/05/18;5;2020/11/03;13;2020/11/23;26;2020/11/27;22;2020/12/12;12;2021/01/16;20;2020/11/23;26;2020/11/12;4;2020/03/25;0.0;2020/04/17;2.92;2020/05/18;2.92;2020/11/03;7.58;2020/11/23;15.17;2020/11/27;12.84;2020/12/12;7.0;2021/01/16;11.67;2020/11/23;15.17;2021/01/16;2.34;COM
Rocca CigliÃ¨;Marsaglia,Clavesana,Castellino Tanaro,Niella Tanaro,CigliÃ¨;2020/03/25;0;2020/04/02;1;2020/05/18;0;2020/11/03;1;2020/11/04;1;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/04/02;1;2020/04/02;1;2020/03/25;0.0;2020/04/02;7.46;2020/05/18;0.0;2020/11/03;7.46;2020/11/04;7.46;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/04/02;7.46;2020/04/02;7.46;COM
Rocca Grimalda;Trisobbio,Ovada,Silvano d'Orba,Capriata d'Orba,Predosa,Carpeneto;2020/03/25;0;2020/04/09;4;2020/05/18;2;2020/11/03;17;2020/11/11;21;2020/11/27;8;2020/12/12;4;2021/01/16;1;2020/11/11;21;2020/10/25;7;2020/03/25;0.0;2020/04/09;2.71;2020/05/18;1.36;2020/11/03;11.53;2020/11/11;14.25;2020/11/27;5.43;2020/12/12;2.71;2021/01/16;0.68;2020/11/11;14.25;2020/10/25;4.75;COM
Rocca d'Arazzo;Azzano d'Asti,Montaldo Scarampi,Castello di Annone,Montegrosso d'Asti,Mombercelli,Vigliano d'Asti,Asti,Rocchetta Tanaro;2020/03/25;3;2020/04/20;4;2020/05/18;2;2020/11/03;5;2020/11/21;17;2020/11/27;12;2020/12/12;8;2021/01/16;4;2020/11/21;17;2020/11/21;3;2020/03/25;3.37;2020/04/20;4.49;2020/05/18;2.24;2020/11/03;5.61;2020/11/21;19.08;2020/11/27;13.47;2020/12/12;8.98;2021/01/16;4.49;2020/11/21;19.08;2020/11/21;3.37;COM
Rocca de' Baldi;Sant'Albano Stura,MondovÃ¬,Morozzo,Magliano Alpi;2020/03/25;1;2020/04/03;3;2020/05/18;0;2020/11/03;13;2020/11/26;29;2020/11/27;28;2020/12/12;8;2021/01/16;3;2020/11/26;29;2020/11/24;4;2020/03/25;0.62;2020/04/03;1.85;2020/05/18;0.0;2020/11/03;8.01;2020/11/26;17.88;2020/11/27;17.26;2020/12/12;4.93;2021/01/16;1.85;2020/11/26;17.88;2020/11/24;2.47;COM
Roccabruna;Dronero,Cartignano,Melle,Busca,Villar San Costanzo;2020/03/25;2;2020/04/14;3;2020/05/18;0;2020/11/03;7;2020/11/21;33;2020/11/27;18;2020/12/12;10;2021/01/16;14;2020/11/21;33;2020/11/06;5;2020/03/25;1.29;2020/04/14;1.93;2020/05/18;0.0;2020/11/03;4.51;2020/11/21;21.26;2020/11/27;11.6;2020/12/12;6.44;2021/01/16;9.02;2020/11/21;21.26;2020/11/06;3.23;COM
Roccaforte Ligure;Grondona,Rocchetta Ligure,Mongiardino Ligure,Cantalupo Ligure,Borghetto di Borbera;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/04;0;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/03/25;0;2020/03/25;0;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/04;0.0;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/03/25;0.0;2020/03/25;0.0;COM
Roccaforte MondovÃ¬;Ormea,Frabosa Sottana,Magliano Alpi,Chiusa di Pesio,Briga Alta,Pianfei,Villanova MondovÃ¬;2020/03/25;5;2020/04/18;42;2020/05/18;20;2020/11/03;8;2020/12/05;43;2020/11/27;29;2020/12/12;34;2021/01/16;6;2020/12/05;43;2020/04/15;14;2020/03/25;2.33;2020/04/18;19.6;2020/05/18;9.33;2020/11/03;3.73;2020/12/05;20.07;2020/11/27;13.53;2020/12/12;15.87;2021/01/16;2.8;2020/12/05;20.07;2020/04/15;6.53;COM
Roccasparvera;Borgo San Dalmazzo,Bernezzo,Cervasca,Rittana,Vignolo,Gaiola;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;8;2020/12/01;12;2020/11/27;10;2020/12/12;5;2021/01/16;3;2020/10/31;12;2020/08/25;3;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;10.77;2020/12/01;16.15;2020/11/27;13.46;2020/12/12;6.73;2021/01/16;4.04;2020/10/31;16.15;2020/08/25;4.03;COM
Roccaverano;Mombaldone,Loazzolo,Olmo Gentile,Monastero Bormida,Bubbio,Vesime,San Giorgio Scarampi,Cessole,Serole,Denice,Spigno Monferrato;2020/03/25;0;2020/04/05;1;2020/05/18;0;2020/11/03;1;2020/11/04;1;2020/11/27;0;2020/12/12;1;2021/01/16;0;2020/04/05;1;2020/04/05;1;2020/03/25;0.0;2020/04/05;2.53;2020/05/18;0.0;2020/11/03;2.53;2020/11/04;2.53;2020/11/27;0.0;2020/12/12;2.53;2021/01/16;0.0;2020/04/05;2.53;2020/04/05;2.53;COM
Roccavione;Borgo San Dalmazzo,Roaschia,Valdieri,Boves,Robilante;2020/03/25;0;2020/05/04;41;2020/05/18;9;2020/11/03;10;2021/01/03;20;2020/11/27;17;2020/12/12;14;2021/01/16;8;2020/05/04;41;2020/04/13;22;2020/03/25;0.0;2020/05/04;15.45;2020/05/18;3.39;2020/11/03;3.77;2021/01/03;7.54;2020/11/27;6.41;2020/12/12;5.28;2021/01/16;3.02;2020/05/04;15.45;2020/04/13;8.3;COM
Rocchetta Belbo;Mango,Vesime,Castino,Cossano Belbo;2020/03/25;0;2020/05/01;2;2020/05/18;1;2020/11/03;1;2020/11/15;10;2020/11/27;10;2020/12/12;1;2021/01/16;0;2020/11/15;10;2020/11/15;3;2020/03/25;0.0;2020/05/01;12.5;2020/05/18;6.25;2020/11/03;6.25;2020/11/15;62.5;2020/11/27;62.5;2020/12/12;6.25;2021/01/16;0.0;2020/11/15;62.5;2020/11/15;18.75;COM
Rocchetta Ligure;Albera Ligure,Cabella Ligure,Mongiardino Ligure,Cantalupo Ligure,Roccaforte Ligure;2020/03/25;0;2020/04/09;1;2020/05/18;0;2020/11/03;1;2020/11/06;2;2020/11/27;2;2020/12/12;0;2021/01/16;1;2020/11/06;2;2020/12/31;2;2020/03/25;0.0;2020/04/09;4.72;2020/05/18;0.0;2020/11/03;4.72;2020/11/06;9.43;2020/11/27;9.43;2020/12/12;0.0;2021/01/16;4.72;2020/11/06;9.43;2020/12/31;9.43;COM
Rocchetta Palafea;Calamandrana,Bistagno,Cassinasco,Montabone,Castel Boglione,Sessame;2020/03/25;1;2020/03/25;1;2020/05/18;0;2020/11/03;0;2020/11/08;2;2020/11/27;0;2020/12/12;1;2021/01/16;1;2020/11/08;2;2020/11/06;1;2020/03/25;2.89;2020/03/25;2.89;2020/05/18;0.0;2020/11/03;0.0;2020/11/08;5.78;2020/11/27;0.0;2020/12/12;2.89;2021/01/16;2.89;2020/11/08;5.78;2020/11/06;2.89;COM
Rocchetta Tanaro;Masio,Castello di Annone,Rocca d'Arazzo,Mombercelli,Belveglio,Cerro Tanaro,Cortiglione;2020/03/25;0;2020/04/21;33;2020/05/18;22;2020/11/03;8;2020/11/24;22;2020/11/27;19;2020/12/12;5;2021/01/16;3;2020/04/21;33;2020/04/04;6;2020/03/25;0.0;2020/04/21;23.21;2020/05/18;15.47;2020/11/03;5.63;2020/11/24;15.47;2020/11/27;13.36;2020/12/12;3.52;2021/01/16;2.11;2020/04/21;23.21;2020/04/04;4.22;COM
Roddi;Monticello d'Alba,Alba,Santa Vittoria d'Alba,Verduno,La Morra;2020/03/25;3;2020/05/03;8;2020/05/18;3;2020/11/03;5;2021/01/15;22;2020/11/27;14;2020/12/12;10;2021/01/16;22;2021/01/15;22;2020/11/10;5;2020/03/25;1.84;2020/05/03;4.91;2020/05/18;1.84;2020/11/03;3.07;2021/01/15;13.5;2020/11/27;8.59;2020/12/12;6.13;2021/01/16;13.5;2021/01/15;13.5;2020/11/10;3.07;COM
Roddino;Cissone,Sinio,Dogliani,Monforte d'Alba,Cerretto Langhe,Serralunga d'Alba,Serravalle Langhe;2020/03/25;0;2020/03/31;2;2020/05/18;0;2020/11/03;5;2020/11/12;7;2020/11/27;3;2020/12/12;0;2021/01/16;3;2020/11/12;7;2020/03/31;2;2020/03/25;0.0;2020/03/31;4.84;2020/05/18;0.0;2020/11/03;12.11;2020/11/12;16.95;2020/11/27;7.26;2020/12/12;0.0;2021/01/16;7.26;2020/11/12;16.95;2020/10/29;4.85;COM
Rodello;Sinio,Diano d'Alba,Montelupo Albese,Benevello,Albaretto della Torre,Lequio Berria;2020/03/25;0;2020/04/19;1;2020/05/18;0;2020/11/03;12;2020/11/26;35;2020/11/27;35;2020/12/12;8;2021/01/16;5;2020/11/26;35;2020/10/30;4;2020/03/25;0.0;2020/04/19;1.04;2020/05/18;0.0;2020/11/03;12.54;2020/11/26;36.57;2020/11/27;36.57;2020/12/12;8.36;2021/01/16;5.22;2020/11/26;36.57;2020/10/30;4.18;COM
Roletto;Cantalupa,Pinerolo,Frossasco;2020/03/25;1;2020/05/09;9;2020/05/18;3;2020/11/03;3;2020/11/24;26;2020/11/27;21;2020/12/12;10;2021/01/16;2;2020/11/24;26;2020/11/14;4;2020/03/25;0.49;2020/05/09;4.42;2020/05/18;1.47;2020/11/03;1.47;2020/11/24;12.78;2020/11/27;10.32;2020/12/12;4.92;2021/01/16;0.98;2020/11/24;12.78;2020/11/14;1.96;COM
Romagnano Sesia;Gattinara,Cavallirio,Fontaneto d'Agogna,Prato Sesia,Serravalle Sesia,Ghemme;2020/03/25;6;2020/04/24;28;2020/05/18;9;2020/11/03;26;2020/11/21;71;2020/11/27;60;2020/12/12;10;2021/01/16;12;2020/11/21;71;2020/11/10;10;2020/03/25;1.54;2020/04/24;7.19;2020/05/18;2.31;2020/11/03;6.68;2020/11/21;18.23;2020/11/27;15.41;2020/12/12;2.57;2021/01/16;3.08;2020/11/21;18.23;2020/11/10;2.57;COM
Romano Canavese;Scarmagno,Strambino,Mercenasco,Pavone Canavese,Perosa Canavese,Ivrea;2020/03/25;1;2020/04/15;5;2020/05/18;5;2020/11/03;16;2020/11/17;37;2020/11/27;27;2020/12/12;13;2021/01/16;7;2020/11/17;37;2020/10/28;6;2020/03/25;0.38;2020/04/15;1.89;2020/05/18;1.89;2020/11/03;6.04;2020/11/17;13.96;2020/11/27;10.18;2020/12/12;4.9;2021/01/16;2.64;2020/11/17;13.96;2020/10/28;2.26;COM
Romentino;Galliate,Novara,Trecate;2020/03/25;10;2020/05/02;25;2020/05/18;13;2020/11/03;28;2020/11/23;85;2020/11/27;78;2020/12/12;24;2021/01/16;14;2020/11/23;85;2020/11/11;9;2020/03/25;1.78;2020/05/02;4.45;2020/05/18;2.31;2020/11/03;4.98;2020/11/23;15.12;2020/11/27;13.88;2020/12/12;4.27;2021/01/16;2.49;2020/11/23;15.12;2020/11/11;1.6;COM
Ronco Biellese;Pettinengo,Zumaglia,Biella,Valdengo,Vigliano Biellese,Ternengo;2020/03/25;2;2020/05/14;6;2020/05/18;4;2020/11/03;12;2020/11/15;38;2020/11/27;29;2020/12/12;8;2021/01/16;5;2020/11/15;38;2020/11/12;21;2020/03/25;1.33;2020/05/14;3.98;2020/05/18;2.65;2020/11/03;7.95;2020/11/15;25.18;2020/11/27;19.22;2020/12/12;5.3;2021/01/16;3.31;2020/11/15;25.18;2020/11/12;13.92;COM
Ronco Canavese;Sparone,Ingria,Traversella,Valprato Soana,Ribordone,Pont-Canavese,Locana;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/12/13;15;2020/11/27;1;2020/12/12;14;2021/01/16;1;2020/12/13;15;2020/12/06;6;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/12/13;50.0;2020/11/27;3.33;2020/12/12;46.67;2021/01/16;3.33;2020/12/13;50.0;2020/12/06;20.0;COM
Rondissone;Cigliano,MazzÃ¨,Saluggia,Villareggia,Chivasso,Verolengo,Torrazza Piemonte;2020/03/25;0;2020/05/16;4;2020/05/18;4;2020/11/03;20;2020/11/25;25;2020/11/27;23;2020/12/12;7;2021/01/16;6;2020/11/25;25;2020/12/31;6;2020/03/25;0.0;2020/05/16;2.12;2020/05/18;2.12;2020/11/03;10.6;2020/11/25;13.25;2020/11/27;12.19;2020/12/12;3.71;2021/01/16;3.18;2020/11/25;13.25;2020/12/31;3.18;COM
Ronsecco;Trino,BianzÃ¨,Desana,Crova,Tronzano Vercellese,Tricerro,Lignana;2020/03/25;2;2020/04/11;3;2020/05/18;2;2020/11/03;0;2020/12/18;2;2020/11/27;1;2020/12/12;0;2021/01/16;0;2020/04/11;3;2020/04/11;1;2020/03/25;3.53;2020/04/11;5.29;2020/05/18;3.53;2020/11/03;0.0;2020/12/18;3.53;2020/11/27;1.76;2020/12/12;0.0;2021/01/16;0.0;2020/04/11;5.29;2020/12/18;1.77;COM
Roppolo;Alice Castello,Zimone,Salussola,Dorzano,CavagliÃ ,Cerrione,Viverone;2020/03/25;2;2020/04/03;3;2020/05/18;0;2020/11/03;2;2020/11/15;6;2020/11/27;6;2020/12/12;3;2021/01/16;2;2020/11/15;6;2020/11/10;2;2020/03/25;2.27;2020/04/03;3.41;2020/05/18;0.0;2020/11/03;2.27;2020/11/15;6.82;2020/11/27;6.82;2020/12/12;3.41;2021/01/16;2.27;2020/11/15;6.82;2020/11/10;2.27;COM
RorÃ ;Villar Pellice,Bagnolo Piemonte,Luserna San Giovanni,Torre Pellice;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;1;2020/11/30;3;2020/11/27;2;2020/12/12;1;2021/01/16;1;2020/11/30;3;2020/10/15;1;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;4.22;2020/11/30;12.66;2020/11/27;8.44;2020/12/12;4.22;2021/01/16;4.22;2020/11/30;12.66;2020/10/15;4.22;COM
Rosazza;Sagliano Micca,Andorno Micca,Piedicavallo,Campiglia Cervo;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;0;2020/11/04;0;2020/11/27;0;2020/12/12;0;2021/01/16;0;2020/10/19;2;2020/10/19;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;0.0;2020/11/04;0.0;2020/11/27;0.0;2020/12/12;0.0;2021/01/16;0.0;2020/10/19;21.98;2020/10/19;21.98;COM
Rosignano Monferrato;San Giorgio Monferrato,Frassinello Monferrato,Terruggia,Ozzano Monferrato,Casale Monferrato,Camagna Monferrato,Cella Monte;2020/03/25;4;2020/04/07;11;2020/05/18;1;2020/11/03;4;2020/11/24;21;2020/11/27;18;2020/12/12;7;2021/01/16;9;2020/11/24;21;2020/11/21;4;2020/03/25;2.65;2020/04/07;7.28;2020/05/18;0.66;2020/11/03;2.65;2020/11/24;13.9;2020/11/27;11.91;2020/12/12;4.63;2021/01/16;5.96;2020/11/24;13.9;2020/11/21;2.65;COM
Rossa;Cervatto,Fobello,Alto Sermenza,Cravagliana,Balmuccia,Boccioleto;2020/03/25;0;2020/04/05;1;2020/05/18;1;2020/11/03;0;2020/11/27;4;2020/11/27;4;2020/12/12;2;2021/01/16;3;2020/11/27;4;2020/11/27;3;2020/03/25;0.0;2020/04/05;5.62;2020/05/18;5.62;2020/11/03;0.0;2020/11/27;22.47;2020/11/27;22.47;2020/12/12;11.24;2021/01/16;16.85;2020/11/27;22.47;2020/11/27;16.85;COM
Rossana;Costigliole Saluzzo,Busca,Piasco,Venasca;2020/03/25;0;2020/04/01;1;2020/05/18;0;2020/11/03;6;2020/12/02;12;2020/11/27;10;2020/12/12;3;2021/01/16;2;2020/12/02;12;2020/10/25;2;2020/03/25;0.0;2020/04/01;1.15;2020/05/18;0.0;2020/11/03;6.93;2020/12/02;13.86;2020/11/27;11.55;2020/12/12;3.46;2021/01/16;2.31;2020/12/02;13.86;2020/10/25;2.31;COM
Rosta;Rivoli,Reano,Villarbasse,Buttigliera Alta,Caselette;2020/03/25;7;2020/04/08;11;2020/05/18;3;2020/11/03;36;2020/11/15;67;2020/11/27;40;2020/12/12;18;2021/01/16;25;2020/11/15;67;2020/12/31;9;2020/03/25;1.41;2020/04/08;2.22;2020/05/18;0.61;2020/11/03;7.26;2020/11/15;13.52;2020/11/27;8.07;2020/12/12;3.63;2021/01/16;5.04;2020/11/15;13.52;2020/12/31;1.82;COM
Roure;Perrero,Perosa Argentina,Fenestrelle,Coazze,San Giorio di Susa,Massello,Bussoleno,Mattie;2020/03/25;2;2020/03/25;2;2020/05/18;0;2020/11/03;8;2020/11/14;19;2020/11/27;14;2020/12/12;8;2021/01/16;16;2020/11/14;19;2020/12/16;6;2020/03/25;2.51;2020/03/25;2.51;2020/05/18;0.0;2020/11/03;10.04;2020/11/14;23.84;2020/11/27;17.57;2020/12/12;10.04;2021/01/16;20.08;2020/11/14;23.84;2020/12/16;7.53;COM
Rovasenda;Gattinara,Masserano,Lenta,Roasio,Brusnengo,San Giacomo Vercellese,Buronzo,Ghislarengo,Arborio;2020/03/25;1;2020/04/18;2;2020/05/18;1;2020/11/03;3;2020/12/28;14;2020/11/27;5;2020/12/12;4;2021/01/16;4;2020/12/28;14;2020/12/16;3;2020/03/25;1.08;2020/04/18;2.15;2020/05/18;1.08;2020/11/03;3.23;2020/12/28;15.07;2020/11/27;5.38;2020/12/12;4.31;2021/01/16;4.31;2020/12/28;15.07;2020/12/16;3.22;COM
Rubiana;Almese,Val della Torre,ViÃ¹,Caprie,Condove,Villar Dora;2020/03/25;1;2020/05/07;12;2020/05/18;7;2020/11/03;6;2020/12/30;26;2020/11/27;11;2020/12/12;9;2021/01/16;14;2020/12/30;26;2020/12/16;11;2020/03/25;0.42;2020/05/07;5.06;2020/05/18;2.95;2020/11/03;2.53;2020/12/30;10.96;2020/11/27;4.64;2020/12/12;3.79;2021/01/16;5.9;2020/12/30;10.96;2020/12/16;4.64;COM
Rueglio;Castelnuovo Nigra,Castellamonte,Issiglio,Vistrorio,Val di Chy,Valchiusa;2020/03/25;0;2020/04/02;1;2020/05/18;1;2020/11/03;3;2020/11/27;7;2020/11/27;7;2020/12/12;2;2021/01/16;1;2020/11/27;7;2020/04/02;1;2020/03/25;0.0;2020/04/02;1.29;2020/05/18;1.29;2020/11/03;3.86;2020/11/27;9.01;2020/11/27;9.01;2020/12/12;2.57;2021/01/16;1.29;2020/11/27;9.01;2020/04/02;1.29;COM
Ruffia;Murello,Scarnafigi,Monasterolo di Savigliano,Cavallermaggiore,Cavallerleone,Villanova Solaro;2020/03/25;0;2020/03/25;0;2020/05/18;0;2020/11/03;12;2020/11/04;11;2020/11/27;4;2020/12/12;1;2021/01/16;2;2020/10/27;13;2020/10/16;2;2020/03/25;0.0;2020/03/25;0.0;2020/05/18;0.0;2020/11/03;33.06;2020/11/04;30.3;2020/11/27;11.02;2020/12/12;2.75;2021/01/16;5.51;2020/10/27;35.81;2020/10/16;5.51;COM
Sagliano Micca;Pralungo,Biella,Andorno Micca,Tollegno,Campiglia Cervo,Miagliano,Piedicavallo,Veglio,Tavigliano,Rosazza;2020/03/25;3;2020/04/04;5;2020/05/18;0;2020/11/03;3;2020/11/16;14;2020/11/27;12;2020/12/12;5;2021/01/16;10;2020/11/16;14;2021/01/13;4;2020/03/25;1.87;2020/04/04;3.12;2020/05/18;0.0;2020/11/03;1.87;2020/11/16;8.72;2020/11/27;7.48;2020/12/12;3.12;2021/01/16;6.23;2020/11/16;8.72;2021/01/13;2.49;COM
